super_class,BatonRouge,Bloomington,Richmond,Auburn_WA,Gainesville,Honolulu,SanFrancisco,TOTAL
Homelessness,0,0,0,0,0,203,523748,523951
Graffiti_Postings,930,931,0,2079,88,8,1226501,1230537
Noise,0,0,0,0,309,0,94808,95117
Transit,0,468,0,0,37,83,307564,308152
Animals_Pests,4131,1040,0,395,229,62,9703,15560
Trees_Vegetation,67561,10432,3166,1534,1881,537,174351,259462
Street_Lighting,22684,2545,3086,946,1149,168,99199,129777
Traffic_Signals_Signs,33980,5038,329,2450,773,335,123484,166389
Water_Sewer_Drainage,74810,6347,0,1458,620,79,177354,260668
Parking_Vehicles,10768,2908,687,5728,1849,6,1161636,1183582
Property_Housing_Code,19496,3263,414,223,1471,123,311640,336630
Parks_Recreation,0,3032,0,0,384,148,129943,133507
Waste_Sanitation,631964,68498,24858,5853,2562,212,3599335,4333282
Streets_Sidewalks,55160,15539,6246,2612,1731,203,314883,396374
General_Admin_Other,78107,8638,4487,1101,3383,320,617783,713819
